configuration,run_id,application_count,worker_count,application_index,app_id,completed_cycles,mean_queue_wait_us,max_queue_wait_us,mean_evaluation_interval_ms,max_evaluation_interval_ms,starvation_evidence,jain_fairness_index,status
apps=2;workers=1;mode=BASELINE,primary-a2-w1-measured-4-baseline,2,1,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=1;mode=BASELINE,primary-a2-w1-measured-5-baseline,2,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=1;mode=BASELINE,primary-a2-w1-measured-5-baseline,2,1,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=1;mode=BASELINE,primary-a2-w1-measured-6-baseline,2,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=1;mode=BASELINE,primary-a2-w1-measured-6-baseline,2,1,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=1;mode=BASELINE,primary-a2-w1-measured-7-baseline,2,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=1;mode=BASELINE,primary-a2-w1-measured-7-baseline,2,1,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=1;mode=BASELINE,primary-a2-w1-measured-8-baseline,2,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=1;mode=BASELINE,primary-a2-w1-measured-8-baseline,2,1,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=1;mode=INTEGRATED,primary-a2-w1-measured-4-integrated,2,1,0,APP_244288_46831369,3.000,520.769,7560.039,1081.004,1084.785,NONE,1.000,MEASURED
apps=2;workers=1;mode=INTEGRATED,primary-a2-w1-measured-4-integrated,2,1,1,APP_244289_46831369,3.000,2618.981,9956.102,1083.113,1110.982,NONE,1.000,MEASURED
apps=2;workers=1;mode=INTEGRATED,primary-a2-w1-measured-5-integrated,2,1,0,APP_244321_46832469,3.000,123.985,213.681,1035.424,1036.896,NONE,1.000,MEASURED
apps=2;workers=1;mode=INTEGRATED,primary-a2-w1-measured-5-integrated,2,1,1,APP_244322_46832470,3.000,1885.706,2431.379,1034.406,1035.055,NONE,1.000,MEASURED
apps=2;workers=1;mode=INTEGRATED,primary-a2-w1-measured-6-integrated,2,1,0,APP_244358_46832892,3.000,163.708,1131.529,1044.821,1048.303,NONE,1.000,MEASURED
apps=2;workers=1;mode=INTEGRATED,primary-a2-w1-measured-6-integrated,2,1,1,APP_244359_46832893,3.000,2140.427,3280.075,1045.582,1047.340,NONE,1.000,MEASURED
apps=2;workers=1;mode=INTEGRATED,primary-a2-w1-measured-7-integrated,2,1,0,APP_244533_46833986,3.000,152.649,285.128,1051.135,1063.393,NONE,1.000,MEASURED
apps=2;workers=1;mode=INTEGRATED,primary-a2-w1-measured-7-integrated,2,1,1,APP_244534_46833986,3.000,2152.650,3477.820,1050.468,1063.030,NONE,1.000,MEASURED
apps=2;workers=1;mode=INTEGRATED,primary-a2-w1-measured-8-integrated,2,1,0,APP_244557_46834414,3.000,201.469,1794.140,1051.570,1052.401,NONE,1.000,MEASURED
apps=2;workers=1;mode=INTEGRATED,primary-a2-w1-measured-8-integrated,2,1,1,APP_244558_46834414,3.000,2357.892,4445.241,1050.524,1052.382,NONE,1.000,MEASURED
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-4-baseline,2,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-4-baseline,2,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-5-baseline,2,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-5-baseline,2,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-6-baseline,2,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-6-baseline,2,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-7-baseline,2,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-7-baseline,2,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-8-baseline,2,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=BASELINE,primary-a2-w2-measured-8-baseline,2,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-4-integrated,2,2,0,APP_244694_46837614,3.000,363.152,2949.289,1055.746,1061.536,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-4-integrated,2,2,1,APP_244695_46837615,3.000,348.249,2953.571,1055.782,1065.118,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-5-integrated,2,2,0,APP_244727_46838787,3.000,275.503,3713.876,1048.811,1050.514,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-5-integrated,2,2,1,APP_244728_46838788,3.000,394.683,6115.796,1047.681,1047.744,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-6-integrated,2,2,0,APP_244752_46839214,3.000,394.796,2514.724,1057.333,1064.594,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-6-integrated,2,2,1,APP_244753_46839214,3.000,126.876,477.239,1057.234,1080.025,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-7-integrated,2,2,0,APP_244788_46840390,3.000,215.822,988.995,1052.784,1056.246,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-7-integrated,2,2,1,APP_244789_46840390,3.000,381.846,2251.347,1046.412,1054.830,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-8-integrated,2,2,0,APP_244817_46840816,3.000,208.854,901.889,1057.540,1063.926,NONE,1.000,MEASURED
apps=2;workers=2;mode=INTEGRATED,primary-a2-w2-measured-8-integrated,2,2,1,APP_244818_46840816,3.000,406.957,3268.677,1059.099,1060.176,NONE,1.000,MEASURED
apps=2;workers=4;mode=BASELINE,primary-a2-w4-measured-4-baseline,2,4,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=4;mode=BASELINE,primary-a2-w4-measured-4-baseline,2,4,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=4;mode=BASELINE,primary-a2-w4-measured-5-baseline,2,4,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=4;mode=BASELINE,primary-a2-w4-measured-5-baseline,2,4,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=4;mode=BASELINE,primary-a2-w4-measured-6-baseline,2,4,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=4;mode=BASELINE,primary-a2-w4-measured-6-baseline,2,4,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=4;mode=BASELINE,primary-a2-w4-measured-7-baseline,2,4,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=4;mode=BASELINE,primary-a2-w4-measured-7-baseline,2,4,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=4;mode=BASELINE,primary-a2-w4-measured-8-baseline,2,4,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=4;mode=BASELINE,primary-a2-w4-measured-8-baseline,2,4,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=2;workers=4;mode=INTEGRATED,primary-a2-w4-measured-4-integrated,2,4,0,APP_244968_46844304,3.000,222.304,1675.408,1039.654,1043.265,NONE,1.000,MEASURED
apps=2;workers=4;mode=INTEGRATED,primary-a2-w4-measured-4-integrated,2,4,1,APP_244969_46844304,3.000,188.489,1025.625,1038.884,1041.571,NONE,1.000,MEASURED
apps=2;workers=4;mode=INTEGRATED,primary-a2-w4-measured-5-integrated,2,4,0,APP_245003_46845396,3.000,174.383,669.953,1039.948,1044.313,NONE,1.000,MEASURED
apps=2;workers=4;mode=INTEGRATED,primary-a2-w4-measured-5-integrated,2,4,1,APP_245004_46845397,3.000,167.073,1082.610,1040.144,1048.538,NONE,1.000,MEASURED
apps=2;workers=4;mode=INTEGRATED,primary-a2-w4-measured-6-integrated,2,4,0,APP_245030_46845816,3.000,146.659,274.781,1051.730,1057.029,NONE,1.000,MEASURED
apps=2;workers=4;mode=INTEGRATED,primary-a2-w4-measured-6-integrated,2,4,1,APP_245031_46845816,3.000,222.064,1465.810,1052.332,1061.956,NONE,1.000,MEASURED
apps=2;workers=4;mode=INTEGRATED,primary-a2-w4-measured-7-integrated,2,4,0,APP_245067_46846918,3.000,198.705,1041.850,1057.258,1060.986,NONE,1.000,MEASURED
apps=2;workers=4;mode=INTEGRATED,primary-a2-w4-measured-7-integrated,2,4,1,APP_245068_46846919,3.000,335.475,3343.760,1056.944,1066.063,NONE,1.000,MEASURED
apps=2;workers=4;mode=INTEGRATED,primary-a2-w4-measured-8-integrated,2,4,0,APP_245094_46847345,3.000,172.194,247.550,1042.230,1043.929,NONE,1.000,MEASURED
apps=2;workers=4;mode=INTEGRATED,primary-a2-w4-measured-8-integrated,2,4,1,APP_245095_46847345,3.000,241.435,2129.609,1041.215,1044.916,NONE,1.000,MEASURED
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-4-baseline,4,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-4-baseline,4,1,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-4-baseline,4,1,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-4-baseline,4,1,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-5-baseline,4,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-5-baseline,4,1,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-5-baseline,4,1,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-5-baseline,4,1,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-6-baseline,4,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-6-baseline,4,1,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-6-baseline,4,1,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-6-baseline,4,1,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-7-baseline,4,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-7-baseline,4,1,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-7-baseline,4,1,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-7-baseline,4,1,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-8-baseline,4,1,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-8-baseline,4,1,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-8-baseline,4,1,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=BASELINE,primary-a4-w1-measured-8-baseline,4,1,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-4-integrated,4,1,0,APP_245322_46851176,4.000,601.155,6753.978,1133.682,1160.531,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-4-integrated,4,1,1,APP_245323_46851176,4.000,3093.223,9180.852,1130.160,1142.808,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-4-integrated,4,1,2,APP_245324_46851176,4.000,6822.056,18179.165,1128.661,1134.660,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-4-integrated,4,1,3,APP_245325_46851176,4.000,9506.248,25361.330,1126.363,1134.094,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-5-integrated,4,1,0,APP_245398_46852718,4.000,647.134,3999.993,1093.394,1102.539,NONE,0.987,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-5-integrated,4,1,1,APP_245399_46852718,4.000,2969.548,5961.636,1089.584,1102.645,NONE,0.987,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-5-integrated,4,1,2,APP_245400_46852718,4.000,6022.817,14796.619,1087.867,1102.180,NONE,0.987,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-5-integrated,4,1,3,APP_245401_46852718,3.000,8432.408,21190.841,1096.161,1111.864,NONE,0.987,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-6-integrated,4,1,0,APP_245464_46853299,5.000,1294.654,8394.749,1116.935,1135.637,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-6-integrated,4,1,1,APP_245465_46853300,5.000,3717.686,9501.300,1119.180,1131.174,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-6-integrated,4,1,2,APP_245466_46853300,5.000,8142.412,21952.246,1114.752,1126.466,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-6-integrated,4,1,3,APP_245467_46853300,5.000,11639.913,27714.155,1110.907,1119.823,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-7-integrated,4,1,0,APP_245558_46854876,4.000,580.217,3520.714,1093.101,1109.439,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-7-integrated,4,1,1,APP_245559_46854876,4.000,3057.844,7757.379,1099.772,1110.730,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-7-integrated,4,1,2,APP_245560_46854876,4.000,5675.874,14425.463,1103.708,1119.239,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-7-integrated,4,1,3,APP_245561_46854876,4.000,8165.604,18334.446,1112.495,1144.219,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-8-integrated,4,1,0,APP_245616_46855444,4.000,1066.998,6471.504,1117.450,1132.204,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-8-integrated,4,1,1,APP_245617_46855444,4.000,3496.056,9994.231,1115.686,1152.977,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-8-integrated,4,1,2,APP_245618_46855444,4.000,7445.505,16664.877,1114.734,1156.638,NONE,1.000,MEASURED
apps=4;workers=1;mode=INTEGRATED,primary-a4-w1-measured-8-integrated,4,1,3,APP_245619_46855444,4.000,10132.378,24061.440,1114.167,1158.922,NONE,1.000,MEASURED
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-4-baseline,4,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-4-baseline,4,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-4-baseline,4,2,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-4-baseline,4,2,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-5-baseline,4,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-5-baseline,4,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-5-baseline,4,2,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-5-baseline,4,2,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-6-baseline,4,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-6-baseline,4,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-6-baseline,4,2,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-6-baseline,4,2,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-7-baseline,4,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-7-baseline,4,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-7-baseline,4,2,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-7-baseline,4,2,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-8-baseline,4,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-8-baseline,4,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-8-baseline,4,2,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,heterogeneous-a4-w2-measured-8-baseline,4,2,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-4-baseline,4,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-4-baseline,4,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-4-baseline,4,2,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-4-baseline,4,2,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-5-baseline,4,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-5-baseline,4,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-5-baseline,4,2,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-5-baseline,4,2,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-6-baseline,4,2,0,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-6-baseline,4,2,1,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-6-baseline,4,2,2,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
apps=4;workers=2;mode=BASELINE,primary-a4-w2-measured-6-baseline,4,2,3,NA,0.000,NA,NA,NA,NA,NONE,NA,UNAVAILABLE
